symbol,policy,allow_open,allow_reopen,allow_double_down,allow_sell,reason,evidence_source,review_after,updated_at
DSU,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=3.8791 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTE,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.1748 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.8076 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DTSQ,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.6666 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DUK,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.2166 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DX,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.5472 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DYNC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.4396 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
DYOR,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=1.5196 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=2.0451 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EBF,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.6011 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ECAT,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=7.9576 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
ED,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.1939 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EEA,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=9.1460 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
EFC,no_reopen,false,false,true,true,valid_months=6 avg_monthly_range_pct=8.8981 below 10,weekly_intraday_range_2026-01_to_2026-06,,2026-06-14
